,rtTitle,ptTitle,rgDesc,TradeValue
0,Morocco,Afghanistan,Export,163108.0
1,Morocco,Afghanistan,Import,80224.0
2,Morocco,Algeria,Export,151734074.0
3,Morocco,Algeria,Import,513723785.0
4,Morocco,Armenia,Export,491241.0
5,Morocco,Armenia,Import,60268.0
6,Morocco,Azerbaijan,Export,883619.0
7,Morocco,Azerbaijan,Import,27163.0
8,Morocco,Bahrain,Export,3076080.0
9,Morocco,Bahrain,Import,78960825.0
10,Morocco,Comoros,Export,2674539.0
11,Morocco,Comoros,Import,226.0
12,Morocco,Cyprus,Export,2267831.0
13,Morocco,Cyprus,Import,1371225.0
14,Morocco,Djibouti,Export,223114171.0
15,Morocco,Georgia,Export,2238759.0
16,Morocco,Georgia,Import,482026.0
17,Morocco,Iraq,Export,60735352.0
18,Morocco,Iraq,Import,47756.0
19,Morocco,Jordan,Export,21950031.0
20,Morocco,Jordan,Import,23137572.0
21,Morocco,Kuwait,Export,10829402.0
22,Morocco,Kuwait,Import,23614597.0
23,Morocco,Lebanon,Export,65514596.0
24,Morocco,Lebanon,Import,25340736.0
25,Morocco,Libya,Export,72701831.0
26,Morocco,Libya,Import,20220296.0
27,Morocco,Malta,Export,7656587.0
28,Morocco,Malta,Import,2063922.0
29,Morocco,Mauritania,Export,185592253.0
30,Morocco,Mauritania,Import,2456658.0
31,Morocco,Oman,Export,50393001.0
32,Morocco,Oman,Import,42706456.0
33,Morocco,Pakistan,Export,368891017.0
34,Morocco,Pakistan,Import,32712680.0
35,Morocco,Qatar,Export,38403744.0
36,Morocco,Qatar,Import,52579552.0
37,Morocco,Saudi Arabia,Export,100858017.0
38,Morocco,Saudi Arabia,Import,1213331422.0
39,Morocco,State of Palestine,Export,3133882.0
40,Morocco,State of Palestine,Import,540185.0
41,Morocco,Syria,Export,48605723.0
42,Morocco,Syria,Import,4090400.0
43,Morocco,Turkey,Export,645856946.0
44,Morocco,Turkey,Import,2630897479.0
45,Morocco,United Arab Emirates,Export,85929563.0
46,Morocco,United Arab Emirates,Import,883532147.0
47,Morocco,World,Export,28855965884.0
48,Morocco,World,Import,47362893129.0
49,Morocco,Yemen,Export,3124222.0
50,Morocco,Yemen,Import,38377.0
