yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,639673,29.2733964,47.4979476,-16.85099460447687,133.4130365630627
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,138120561,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,12384,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,107561,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1902131,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1293573,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,42085446,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,21474266,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,971583,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,27389,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,202617,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,2429804,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,World,World,400846455,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,66924,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,900,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Georgia, Georgia,4106,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,334736,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,72782,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,1242169,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,446912,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,20006587,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,189670,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,14076759,29.2733964,47.4979476,,
2008,2008,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,129678739,29.2733964,47.4979476,,
