yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,909880,40.3936294,47.7872508,47.92172048214207,7.866753258497997
2005,2005,Export,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,World,World,2534635,40.3936294,47.7872508,,
2005,2005,Export,Azerbaijan,11,Products of the milling industry; malt; starches; inulin, Georgia, Georgia,1624755,40.3936294,47.7872508,,
