yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Export,Algeria,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",320535.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2016,2016.0,Export,Algeria,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14449.0,,28.0000272,2.9999825,61.0666922,-107.991707
2016,2016.0,Export,Algeria,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",416.0,,28.0000272,2.9999825,35.000074,104.999927
2016,2016.0,Export,Algeria,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",37.0,,28.0000272,2.9999825,46.603354,1.8883335
2016,2016.0,Export,Algeria,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",47311.0,,28.0000272,2.9999825,51.1638175,10.4478313
2016,2016.0,Export,Algeria,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",767.0,,28.0000272,2.9999825,42.6384261,12.674297
2016,2016.0,Export,Algeria,Morocco,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",250.0,,28.0000272,2.9999825,31.1728205,-7.3362482
2016,2016.0,Export,Algeria,Romania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",148.0,,28.0000272,2.9999825,45.9852129,24.6859225
2016,2016.0,Export,Algeria,Switzerland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18741.0,,28.0000272,2.9999825,46.7985624,8.2319736
2016,2016.0,Export,Algeria,Tunisia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",233464.0,,28.0000272,2.9999825,33.8439408,9.400138
2016,2016.0,Export,Algeria,Turkey,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1018.0,,28.0000272,2.9999825,38.9597594,34.9249653
2016,2016.0,Export,Algeria,USA,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3933.0,,28.0000272,2.9999825,39.7837304,-100.445882
