yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1246406,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,28655,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,13450360,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,22879499,21.0000287,57.0036901,,
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,4949,21.0000287,57.0036901,,
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Djibouti, Djibouti,1068921,21.0000287,57.0036901,,
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,9272,21.0000287,57.0036901,,
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,18125,21.0000287,57.0036901,,
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,128388,21.0000287,57.0036901,,
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,1973753,21.0000287,57.0036901,,
2003,2003,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,4875635,21.0000287,57.0036901,,
