yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2017,2017,Export,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,201884912,,,-36.8535712,174.7456809
2017,2017,Export,Oman,Algeria,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,83,,,28.0000272,2.9999825
2017,2017,Export,Oman,Bahrain,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3259617,,,26.1551249,50.5344606
2017,2017,Export,Oman,Bangladesh,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,614449,,,24.4769288,90.2934413
2017,2017,Export,Oman,Belgium,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,403513,,,50.6402809,4.6667145
2017,2017,Export,Oman,Chile,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,303799,,,-31.7613365,-71.3187697
2017,2017,Export,Oman,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1164223,,,35.000074,104.999927
2017,2017,Export,Oman,Comoros,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,676,,,-12.2045176,44.2832964
2017,2017,Export,Oman,Djibouti,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,77154,,,11.8145966,42.8453061
2017,2017,Export,Oman,Georgia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,31877,,,32.3293809,-83.1137366
2017,2017,Export,Oman,Iran,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2988244,,,32.6475314,54.5643516
2017,2017,Export,Oman,Japan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,232501,,,36.5748441,139.2394179
2017,2017,Export,Oman,Jordan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,100171,,,31.1667049,36.941628
2017,2017,Export,Oman,Kenya,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,70694,,,1.4419683,38.4313975
2017,2017,Export,Oman,Kuwait,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2872686,,,29.2733964,47.4979476
2017,2017,Export,Oman,Lebanon,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,546174,,,33.8750629,35.843409
2017,2017,Export,Oman,Libya,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,949648,,,26.8234472,18.1236723
2017,2017,Export,Oman,Malaysia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2945552,,,4.5693754,102.2656823
2017,2017,Export,Oman,Morocco,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,664694,,,31.1728205,-7.3362482
2017,2017,Export,Oman,Netherlands,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,43183,,,52.2434979,5.6343227
2017,2017,Export,Oman,Norway,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,626,,,60.5000209,9.0999715
2017,2017,Export,Oman,Pakistan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,970868,,,30.3308401,71.247499
2017,2017,Export,Oman,Qatar,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,27592580,,,25.3336984,51.2295295
2017,2017,Export,Oman,Saudi Arabia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,73034393,,,25.6242618,42.3528328
2017,2017,Export,Oman,India,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,206228,,,22.3511148,78.6677428
2017,2017,Export,Oman,Singapore,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,17092,,,1.357107,103.8194992
2017,2017,Export,Oman,Viet Nam,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,862449,,,15.9266657,107.9650855
2017,2017,Export,Oman,Somalia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7051715,,,8.3676771,49.083416
2017,2017,Export,Oman,South Africa,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,497232,,,-28.8166236,24.991639
2017,2017,Export,Oman,Spain,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,154124,,,39.3260685,-4.8379791
2017,2017,Export,Oman,Sweden,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,18720,,,59.6749712,14.5208584
2017,2017,Export,Oman,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,52948169,,,24.0002488,53.9994829
2017,2017,Export,Oman,Turkey,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,751508,,,38.9597594,34.9249653
