yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,3118,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,28599,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,213857,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,6449,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,769039,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,22576,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,35840,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,4436776,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,867,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,149,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,5510711,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,11070873,34.9823018,33.1451285,,
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,27206,34.9823018,33.1451285,,
2009,2009,Import,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,4991,34.9823018,33.1451285,,
