yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,759,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,519289,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,814239,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,67471,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,403040,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,19261,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,1968319,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,8222237,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,16619348,21.0000287,57.0036901,,
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,1131596,21.0000287,57.0036901,,
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Bahrain, Bahrain,13849,21.0000287,57.0036901,,
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,7674,21.0000287,57.0036901,,
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,80975,21.0000287,57.0036901,,
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Qatar, Qatar,306980,21.0000287,57.0036901,,
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,444,21.0000287,57.0036901,,
2020,2020,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,1188980,21.0000287,57.0036901,,
