yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,15800,31.46,34.26,37.977378106878206,73.97804075806764
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,10040,31.46,34.26,51.67568633314729,27.673469819741847
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,84100,31.46,34.26,,
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,22310,31.46,34.26,17.925141963241547,-78.01492950057497
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,33520,31.46,34.26,43.897683433510366,-100.08947125585888
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,2390,31.46,34.26,59.36075159783851,25.01346951967388
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,221460,31.46,34.26,10.528384761701911,103.08333472012376
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,281870,31.46,34.26,40.12399607988535,20.742583178432696
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,456820,31.46,34.26,26.42921218083572,52.86847103284948
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,422940,31.46,34.26,47.92172048214207,7.866753258497997
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,24917530,31.46,34.26,,
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,23361360,31.46,34.26,,
2007,2007,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,4920,31.46,34.26,,
