yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,218584,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,3619441,30.3308401,71.247499,37.977378106878206,73.97804075806764
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,34398,30.3308401,71.247499,51.67568633314729,27.673469819741847
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,76775,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,8614936,30.3308401,71.247499,19.569604022535763,12.47761721199581
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,5766532,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1460455,30.3308401,71.247499,59.36075159783851,25.01346951967388
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1440491,30.3308401,71.247499,10.528384761701911,103.08333472012376
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,3483443,30.3308401,71.247499,25.499703063807168,75.5024015339642
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,811518,30.3308401,71.247499,40.12399607988535,20.742583178432696
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,374890,30.3308401,71.247499,6.06272746187266,22.727528470146083
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,323438,30.3308401,71.247499,26.42921218083572,52.86847103284948
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,2095833,30.3308401,71.247499,47.92172048214207,7.866753258497997
2007,2007,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,59805568,30.3308401,71.247499,,
