yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,503190
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,83936
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,7962
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,39416129
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,147154
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,201337
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,10553
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,28748417
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,2805366
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,4745455
2007,2007,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,World,World,79369956
