yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,324493,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,3273591,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2899621,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1178620,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,397683,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,115565,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,546525,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2018311,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,3399737,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,19189451,25.3336984,51.2295295,,
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,98462,25.3336984,51.2295295,,
2020,2020,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,262092,25.3336984,51.2295295,,
