yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,320178433,25.62,42.35,-16.85099460447687,133.4130365630627
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,292501,25.62,42.35,37.977378106878206,73.97804075806764
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,38490512,25.62,42.35,51.67568633314729,27.673469819741847
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,28101939,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,9129966,25.62,42.35,17.925141963241547,-78.01492950057497
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,14301836,25.62,42.35,43.897683433510366,-100.08947125585888
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,186349283,25.62,42.35,59.36075159783851,25.01346951967388
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,32541755,25.62,42.35,10.528384761701911,103.08333472012376
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,1270883,25.62,42.35,25.499703063807168,75.5024015339642
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1317053,25.62,42.35,40.12399607988535,20.742583178432696
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,42968,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,20210294,25.62,42.35,26.42921218083572,52.86847103284948
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,297563282,25.62,42.35,47.92172048214207,7.866753258497997
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,World,World,1028899036,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,2215105,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,1642380,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,5543099,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,86469,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,24817712,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,9511339,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,8026685,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,10747261,25.62,42.35,,
2005,2005,Import,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,9110752,25.62,42.35,,
