yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2011,2011,Import,Algeria,80,Tin and articles thereof,Eastern Asia,Asia,251120
2011,2011,Import,Algeria,80,Tin and articles thereof,Northern America,Americas,8385
2011,2011,Import,Algeria,80,Tin and articles thereof,Northern Europe,Europe,728
2011,2011,Import,Algeria,80,Tin and articles thereof,South-eastern Asia,Asia,90566
2011,2011,Import,Algeria,80,Tin and articles thereof,Southern Europe,Europe,70276
2011,2011,Import,Algeria,80,Tin and articles thereof,Western Asia,Asia,21
2011,2011,Import,Algeria,80,Tin and articles thereof,Western Europe,Europe,650317
2011,2011,Import,Algeria,80,Tin and articles thereof,World,World,1071460
