yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,296013,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,176824,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,106641,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,13340,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,79337,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,17204,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,3395391,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,2231450,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,2033104,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,3499248,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,3931,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,19940434,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,3403,24.0002488,53.9994829,,
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,228728,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,33061,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2011,2011,Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,53235388,24.0002488,53.9994829,,
