yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,229878,-12.2045176,44.2832964,-16.85099460447687,133.4130365630627
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,18134,-12.2045176,44.2832964,37.977378106878206,73.97804075806764
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,13878,-12.2045176,44.2832964,,
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,578746,-12.2045176,44.2832964,10.528384761701911,103.08333472012376
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,1540904,-12.2045176,44.2832964,6.06272746187266,22.727528470146083
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1624,-12.2045176,44.2832964,26.42921218083572,52.86847103284948
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,358660,-12.2045176,44.2832964,47.92172048214207,7.866753258497997
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,World,World,3124870,-12.2045176,44.2832964,,
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,1596,-12.2045176,44.2832964,,
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,182318,-12.2045176,44.2832964,,
2008,2008,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,73237,-12.2045176,44.2832964,,
