yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,2395,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,182532,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,670,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,4204,35.8885993,14.4476911,,
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,872,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,14835,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,169529,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,3160,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,343614,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,397,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,78,35.8885993,14.4476911,,
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,26240,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,136382,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,954968,35.8885993,14.4476911,,
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Pakistan, Pakistan,952,35.8885993,14.4476911,,
2009,2009,Import,Malta,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,326,35.8885993,14.4476911,,
