yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Re-Import,Lebanon,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1492.0,,33.8750629,35.843409,-36.8535712,174.7456809
2015,2015.0,Re-Import,Lebanon,Lebanon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1492.0,,33.8750629,35.843409,33.8750629,35.843409
