yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Export,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7257242,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,Albania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,296,,,41.000028,19.9999619
2019,2019,Export,Kuwait,Bahrain,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,30349,,,26.1551249,50.5344606
2019,2019,Export,Kuwait,Canada,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,231,,,61.0666922,-107.991707
2019,2019,Export,Kuwait,Iran,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1066629,,,32.6475314,54.5643516
2019,2019,Export,Kuwait,Iraq,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,9925,,,33.0955793,44.1749775
2019,2019,Export,Kuwait,Jordan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,497336,,,31.1667049,36.941628
2019,2019,Export,Kuwait,Oman,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,293,,,21.0000287,57.0036901
2019,2019,Export,Kuwait,Netherlands,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2403154,,,52.2434979,5.6343227
2019,2019,Export,Kuwait,Pakistan,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,24227,,,30.3308401,71.247499
2019,2019,Export,Kuwait,Qatar,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,48676,,,25.3336984,51.2295295
2019,2019,Export,Kuwait,Saudi Arabia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2717845,,,25.6242618,42.3528328
2019,2019,Export,Kuwait,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,377724,,,24.0002488,53.9994829
2019,2019,Export,Kuwait,Turkey,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,21242,,,38.9597594,34.9249653
2019,2019,Export,Kuwait,United Kingdom,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,59315,,,54.7023545,-3.2765753
