yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Saudi Arabia,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",810692,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,Algeria,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",112856,,,28.0000272,2.9999825
2018,2018,Export,Saudi Arabia,Bahrain,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",152600,,,26.1551249,50.5344606
2018,2018,Export,Saudi Arabia,Cameroon,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",82782,,,4.6125522,13.1535811
2018,2018,Export,Saudi Arabia,Benin,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",7226,,,9.5293472,2.2584408
2018,2018,Export,Saudi Arabia,Italy,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",125874,,,42.6384261,12.674297
2018,2018,Export,Saudi Arabia,Jordan,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",7333,,,31.1667049,36.941628
2018,2018,Export,Saudi Arabia,Kuwait,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",7583,,,29.2733964,47.4979476
2018,2018,Export,Saudi Arabia,Mauritania,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2773,,,20.2540382,-9.2399263
2018,2018,Export,Saudi Arabia,Oman,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3614,,,21.0000287,57.0036901
2018,2018,Export,Saudi Arabia,Somalia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4533,,,8.3676771,49.083416
2018,2018,Export,Saudi Arabia,South Africa,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9600,,,-28.8166236,24.991639
2018,2018,Export,Saudi Arabia,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",108681,,,24.0002488,53.9994829
2018,2018,Export,Saudi Arabia,Tunisia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",30133,,,33.8439408,9.400138
2018,2018,Export,Saudi Arabia,Turkey,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",60477,,,38.9597594,34.9249653
2018,2018,Export,Saudi Arabia,Egypt,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",53416,,,26.2540493,29.2675469
2018,2018,Export,Saudi Arabia,Yemen,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",41203,,,16.3471243,47.8915271
