yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2017,2017,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,912217
2017,2017,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,631309
2017,2017,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials,World,World,1558766
