yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,54366,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,106119,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,628,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1589410,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,93938,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,459996,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1934081,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,1805674,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,4516,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,11411,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,5241038,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,5190403,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,173100,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,3570488,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,30006655,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Algeria, Algeria,998,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,1198062,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Cyprus, Cyprus,1085710,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,4157247,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Iraq, Iraq,449250,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Israel, Israel,1912171,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Jordan, Jordan,143489,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,8645,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Lebanon, Lebanon,37534,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Libya, Libya,94577,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Malta, Malta,889,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Mauritania, Mauritania,485299,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Morocco, Morocco,116489,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Oman, Oman,675,38.9597594,34.9249653,,
2021,2021,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Qatar, Qatar,40453,38.9597594,34.9249653,,
