yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,424710,30.3308401,71.247499,37.977378106878206,73.97804075806764
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,12671,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1858,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,14945,30.3308401,71.247499,59.36075159783851,25.01346951967388
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,4323662,30.3308401,71.247499,10.528384761701911,103.08333472012376
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,120502,30.3308401,71.247499,25.499703063807168,75.5024015339642
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,53582,30.3308401,71.247499,40.12399607988535,20.742583178432696
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,131492,30.3308401,71.247499,6.06272746187266,22.727528470146083
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,5553,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,461590,30.3308401,71.247499,26.42921218083572,52.86847103284948
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,18971,30.3308401,71.247499,47.92172048214207,7.866753258497997
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6365868,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Afghanistan, Afghanistan,20907,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,8552,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,38112,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,9543,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,4641,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,334,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,708,30.3308401,71.247499,,
2017,2017,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,713524,30.3308401,71.247499,,
