yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,55,Man-made staple fibres,12635,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,China,55,Man-made staple fibres,10211,,,35.000074,104.999927
2016,2016,Import,Comoros,France,55,Man-made staple fibres,63,,,46.603354,1.8883335
2016,2016,Import,Comoros,United Arab Emirates,55,Man-made staple fibres,2360,,,24.0002488,53.9994829
2018,2018,Import,Comoros,World,55,Man-made staple fibres,4149,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,China,55,Man-made staple fibres,330,,,35.000074,104.999927
2018,2018,Import,Comoros,France,55,Man-made staple fibres,184,,,46.603354,1.8883335
2018,2018,Import,Comoros,Saudi Arabia,55,Man-made staple fibres,412,,,25.6242618,42.3528328
2018,2018,Import,Comoros,United Arab Emirates,55,Man-made staple fibres,1917,,,24.0002488,53.9994829
2018,2018,Import,Comoros,United Rep. of Tanzania,55,Man-made staple fibres,1305,,,,
2019,2019,Import,Comoros,World,55,Man-made staple fibres,3791,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,United Arab Emirates,55,Man-made staple fibres,3559,,,24.0002488,53.9994829
2019,2019,Import,Comoros,United Rep. of Tanzania,55,Man-made staple fibres,231,,,,
2020,2020,Import,Comoros,World,55,Man-made staple fibres,1189,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,China,55,Man-made staple fibres,277,,,35.000074,104.999927
2020,2020,Import,Comoros,France,55,Man-made staple fibres,24,,,46.603354,1.8883335
2020,2020,Import,Comoros,Saudi Arabia,55,Man-made staple fibres,123,,,25.6242618,42.3528328
2020,2020,Import,Comoros,United Arab Emirates,55,Man-made staple fibres,764,,,24.0002488,53.9994829
