yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,410,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,66457,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,22531,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,14144,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,11568,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,2847,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,32469,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,92033,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,39380,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,192358,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2009,2009,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,482893,40.7696272,44.6736646,,
