yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,135699,31.17,-7.33,37.977378106878206,73.97804075806764
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,418282,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,811904,31.17,-7.33,17.925141963241547,-78.01492950057497
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,995192,31.17,-7.33,43.897683433510366,-100.08947125585888
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2278,31.17,-7.33,40.12399607988535,20.742583178432696
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,7866763,31.17,-7.33,6.06272746187266,22.727528470146083
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,326882,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,3266188,31.17,-7.33,26.42921218083572,52.86847103284948
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,679,31.17,-7.33,47.92172048214207,7.866753258497997
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,73223590,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,387637,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,139875,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,9325839,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,1713695,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,8861223,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,1608946,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,702106,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,3520135,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,1548831,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,21931991,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,2491321,31.17,-7.33,,
2005,2005,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,7168125,31.17,-7.33,,
