yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,42076
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,217027
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,5588976
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,507568
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,1787956
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,608894
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1214958
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,761
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,167942
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,11043905
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,196004
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,19538338
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,754720
2002,2002,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,World,World,46957992
