yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,55467,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,366134,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,74400,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,27733,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,370934,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,71200,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,10061879,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Algeria, Algeria,42667,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,656534,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,3142937,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,1141335,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,325600,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,355467,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,396800,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,2846137,25.6242618,42.3528328,,
2003,2003,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,188534,25.6242618,42.3528328,,
