yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,13110562,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,1085716,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,53138,25.6242618,42.3528328,,
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,9787728,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,11334592,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,2704142,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,661950,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,5163423,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,4412555,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,11164499,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,World,World,86717054,25.6242618,42.3528328,,
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,6124173,25.6242618,42.3528328,,
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,404807,25.6242618,42.3528328,,
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,1168493,25.6242618,42.3528328,,
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,65688,25.6242618,42.3528328,,
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,16700954,25.6242618,42.3528328,,
2006,2006,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,38718,25.6242618,42.3528328,,
