yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,66501,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,52780,31.1667049,36.941628,51.67568633314729,27.673469819741847
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,172951,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,152856,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,47849,31.1667049,36.941628,59.36075159783851,25.01346951967388
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,25171,31.1667049,36.941628,6.06272746187266,22.727528470146083
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,52785,31.1667049,36.941628,26.42921218083572,52.86847103284948
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,117454,31.1667049,36.941628,47.92172048214207,7.866753258497997
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,World,World,60666378,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Algeria, Algeria,145659,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,88851,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,6607,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,50276327,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Israel, Israel,50365,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,308672,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,167409,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,580193,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,1708221,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,852189,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, State of Palestine, State of Palestine,213940,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,2160157,31.1667049,36.941628,,
2002,2002,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,52458,31.1667049,36.941628,,
