yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",377651,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,Belgium,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10968,,,50.6402809,4.6667145
2016,2016,Import,Comoros,Brunei Darussalam,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",269,,,,
2016,2016,Import,Comoros,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",77759,,,35.000074,104.999927
2016,2016,Import,Comoros,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",53900,,,46.603354,1.8883335
2016,2016,Import,Comoros,Rep. of Korea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11955,,,,
2016,2016,Import,Comoros,Madagascar,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",16541,,,-18.9249604,46.4416422
2016,2016,Import,Comoros,Mauritius,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",159,,,-20.2759451,57.5703566
2016,2016,Import,Comoros,Mozambique,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2641,,,,
2016,2016,Import,Comoros,Saudi Arabia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1214,,,25.6242618,42.3528328
2016,2016,Import,Comoros,Slovakia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",198,,,48.7411522,19.4528646
2016,2016,Import,Comoros,South Africa,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",144,,,-28.8166236,24.991639
2016,2016,Import,Comoros,Thailand,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",56,,,14.8971921,100.83273
2016,2016,Import,Comoros,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",185425,,,24.0002488,53.9994829
2016,2016,Import,Comoros,Egypt,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10136,,,26.2540493,29.2675469
2016,2016,Import,Comoros,United Rep. of Tanzania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",6277,,,,
2018,2018,Import,Comoros,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",819891,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,Azerbaijan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",131,,,40.3936294,47.7872508
2018,2018,Import,Comoros,Australia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",95,,,-24.7761086,134.755
2018,2018,Import,Comoros,Brunei Darussalam,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",184,,,,
2018,2018,Import,Comoros,Canada,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",361,,,61.0666922,-107.991707
2018,2018,Import,Comoros,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",76472,,,35.000074,104.999927
2018,2018,Import,Comoros,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",515606,,,46.603354,1.8883335
2018,2018,Import,Comoros,Rep. of Korea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",94,,,,
2018,2018,Import,Comoros,Kuwait,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",47,,,29.2733964,47.4979476
2018,2018,Import,Comoros,Madagascar,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7518,,,-18.9249604,46.4416422
2018,2018,Import,Comoros,Saudi Arabia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",57,,,25.6242618,42.3528328
2018,2018,Import,Comoros,India,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1038,,,22.3511148,78.6677428
2018,2018,Import,Comoros,Thailand,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",95,,,14.8971921,100.83273
2018,2018,Import,Comoros,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",172164,,,24.0002488,53.9994829
2018,2018,Import,Comoros,Turkey,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",302,,,38.9597594,34.9249653
2018,2018,Import,Comoros,Turks and Caicos Isds,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2908,,,,
2018,2018,Import,Comoros,Uganda,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",36126,,,1.5333554,32.2166578
2018,2018,Import,Comoros,Egypt,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",10,,,26.2540493,29.2675469
2018,2018,Import,Comoros,United Rep. of Tanzania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4624,,,,
2018,2018,Import,Comoros,USA,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",756,,,,
2018,2018,Import,Comoros,Yemen,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1292,,,16.3471243,47.8915271
2019,2019,Import,Comoros,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",287802,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",75894,,,35.000074,104.999927
2019,2019,Import,Comoros,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",60473,,,46.603354,1.8883335
2019,2019,Import,Comoros,Indonesia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4,,,-2.4833826,117.8902853
2019,2019,Import,Comoros,Kenya,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4832,,,1.4419683,38.4313975
2019,2019,Import,Comoros,Kuwait,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",38,,,29.2733964,47.4979476
2019,2019,Import,Comoros,Netherlands,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",929,,,52.2434979,5.6343227
2019,2019,Import,Comoros,Saudi Arabia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1991,,,25.6242618,42.3528328
2019,2019,Import,Comoros,India,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1404,,,22.3511148,78.6677428
2019,2019,Import,Comoros,South Africa,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",284,,,-28.8166236,24.991639
2019,2019,Import,Comoros,Thailand,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",795,,,14.8971921,100.83273
2019,2019,Import,Comoros,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",136404,,,24.0002488,53.9994829
2019,2019,Import,Comoros,Egypt,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",257,,,26.2540493,29.2675469
2019,2019,Import,Comoros,United Rep. of Tanzania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4491,,,,
2020,2020,Import,Comoros,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",340287,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,Belgium,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",16,,,50.6402809,4.6667145
2020,2020,Import,Comoros,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",101467,,,35.000074,104.999927
2020,2020,Import,Comoros,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",69651,,,46.603354,1.8883335
2020,2020,Import,Comoros,Germany,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4761,,,51.1638175,10.4478313
2020,2020,Import,Comoros,Kenya,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1079,,,1.4419683,38.4313975
2020,2020,Import,Comoros,Mauritius,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1830,,,-20.2759451,57.5703566
2020,2020,Import,Comoros,India,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",750,,,22.3511148,78.6677428
2020,2020,Import,Comoros,South Africa,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",25,,,-28.8166236,24.991639
2020,2020,Import,Comoros,Spain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1543,,,39.3260685,-4.8379791
2020,2020,Import,Comoros,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",144879,,,24.0002488,53.9994829
2020,2020,Import,Comoros,Turkey,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2758,,,38.9597594,34.9249653
2020,2020,Import,Comoros,United Rep. of Tanzania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",11525,,,,
