yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,19335,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,48236,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,259180,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,116959,31.1667049,36.941628,10.528384761701911,103.08333472012376
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,638686,31.1667049,36.941628,6.06272746187266,22.727528470146083
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,198609,31.1667049,36.941628,26.42921218083572,52.86847103284948
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,World,World,55492907,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,903416,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,38155,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,41670358,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,417624,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,372480,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,706915,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,1528996,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,1694704,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,1937826,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,2155641,31.1667049,36.941628,,
2003,2003,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,1249,31.1667049,36.941628,,
