yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1618264,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,3503,33.7680065,66.2385139,51.67568633314729,27.673469819741847
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,160097,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,302,33.7680065,66.2385139,59.36075159783851,25.01346951967388
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1324378,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,507,33.7680065,66.2385139,40.12399607988535,20.742583178432696
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,66532,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,36413,33.7680065,66.2385139,47.92172048214207,7.866753258497997
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3846413,33.7680065,66.2385139,,
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,207659,33.7680065,66.2385139,,
2018,2018,Import,Afghanistan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,329220,33.7680065,66.2385139,,
