yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,51200,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2003,2003,Re-Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,World,World,794934,25.6242618,42.3528328,,
2003,2003,Re-Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Libya, Libya,96000,25.6242618,42.3528328,,
2003,2003,Re-Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,450134,25.6242618,42.3528328,,
2003,2003,Re-Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,124533,25.6242618,42.3528328,,
