yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,4495743,25.62,42.35,-16.85099460447687,133.4130365630627
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,10743684,25.62,42.35,37.977378106878206,73.97804075806764
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,932656,25.62,42.35,51.67568633314729,27.673469819741847
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,7455378,25.62,42.35,,
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1249588,25.62,42.35,17.925141963241547,-78.01492950057497
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,47675630,25.62,42.35,43.897683433510366,-100.08947125585888
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,21512178,25.62,42.35,59.36075159783851,25.01346951967388
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,6790568,25.62,42.35,10.528384761701911,103.08333472012376
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,10974447,25.62,42.35,40.12399607988535,20.742583178432696
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,5432134,25.62,42.35,26.42921218083572,52.86847103284948
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,42621253,25.62,42.35,47.92172048214207,7.866753258497997
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,183879404,25.62,42.35,,
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,2272949,25.62,42.35,,
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,30679,25.62,42.35,,
2014,2014,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,6670517,25.62,42.35,,
