yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,473594,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,471694,30.3308401,71.247499,39.89317229901691,61.060280637304274
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,230274,30.3308401,71.247499,37.977378106878206,73.97804075806764
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,5180,30.3308401,71.247499,,
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1178319,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,97168,30.3308401,71.247499,59.36075159783851,25.01346951967388
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,9008,30.3308401,71.247499,10.528384761701911,103.08333472012376
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,360344,30.3308401,71.247499,25.499703063807168,75.5024015339642
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,World,World,106037542,30.3308401,71.247499,,
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Afghanistan, Afghanistan,101495545,30.3308401,71.247499,,
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,283466,30.3308401,71.247499,,
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,27737,30.3308401,71.247499,,
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,4305,30.3308401,71.247499,,
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,15318,30.3308401,71.247499,,
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,283945,30.3308401,71.247499,,
2005,2005,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,982894,30.3308401,71.247499,,
