yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,166190,31.1728205,-7.3362482,,
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,13036,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,5204,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,17507054,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,372883,31.1728205,-7.3362482,,
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,8683,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,19180139,31.1728205,-7.3362482,,
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin, Algeria, Algeria,122638,31.1728205,-7.3362482,,
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,26,31.1728205,-7.3362482,,
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin, Libya, Libya,745369,31.1728205,-7.3362482,,
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin, Mauritania, Mauritania,238914,31.1728205,-7.3362482,,
2005,2005,Export,Morocco,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,142,31.1728205,-7.3362482,,
