yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,2836,35.8885993,14.4476911,19.569604022535763,12.47761721199581
2006,2006,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,11,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2006,2006,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,7288,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2006,2006,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,789,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2006,2006,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,29413,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2006,2006,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,84464,35.8885993,14.4476911,,
