yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,39005,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,75471,30.3308401,71.247499,37.977378106878206,73.97804075806764
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,330206,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,1670772,30.3308401,71.247499,59.36075159783851,25.01346951967388
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,377407,30.3308401,71.247499,10.528384761701911,103.08333472012376
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,31198,30.3308401,71.247499,40.12399607988535,20.742583178432696
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,123508,30.3308401,71.247499,26.42921218083572,52.86847103284948
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1852182,30.3308401,71.247499,47.92172048214207,7.866753258497997
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,World,World,4656391,30.3308401,71.247499,,
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Afghanistan, Afghanistan,10532,30.3308401,71.247499,,
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,43671,30.3308401,71.247499,,
2006,2006,Import,Pakistan,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,98828,30.3308401,71.247499,,
