yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,6538076,29.2733964,47.4979476,-16.85099460447687,133.4130365630627
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,84786,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,152638,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,39691,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,21637,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,735925,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1262708,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,1234851,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,306812,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,544358,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,545,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,601842,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1349859,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,16402775,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,7249,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,28105,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,26080,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,68735,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,68298,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,8694,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,43580,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,1449960,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,State of Palestine, State of Palestine,908,29.2733964,47.4979476,,
2010,2010,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,723557,29.2733964,47.4979476,,
