yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1951,,,-36.8535712,174.7456809
2016,2016,Export,Comoros,France,64,Footwear; gaiters and the like; parts of such articles,1105,,,46.603354,1.8883335
2016,2016,Export,Comoros,Mauritania,64,Footwear; gaiters and the like; parts of such articles,846,,,20.2540382,-9.2399263
2018,2018,Export,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,23203,,,-36.8535712,174.7456809
2018,2018,Export,Comoros,France,64,Footwear; gaiters and the like; parts of such articles,117,,,46.603354,1.8883335
2018,2018,Export,Comoros,Madagascar,64,Footwear; gaiters and the like; parts of such articles,12444,,,-18.9249604,46.4416422
2018,2018,Export,Comoros,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,10640,,,24.0002488,53.9994829
2019,2019,Export,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,38183,,,-36.8535712,174.7456809
2019,2019,Export,Comoros,Madagascar,64,Footwear; gaiters and the like; parts of such articles,38071,,,-18.9249604,46.4416422
2019,2019,Export,Comoros,South Africa,64,Footwear; gaiters and the like; parts of such articles,111,,,-28.8166236,24.991639
2020,2020,Export,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,39437,,,-36.8535712,174.7456809
2020,2020,Export,Comoros,France,64,Footwear; gaiters and the like; parts of such articles,797,,,46.603354,1.8883335
2020,2020,Export,Comoros,Madagascar,64,Footwear; gaiters and the like; parts of such articles,37027,,,-18.9249604,46.4416422
2020,2020,Export,Comoros,Mauritania,64,Footwear; gaiters and the like; parts of such articles,1383,,,20.2540382,-9.2399263
2020,2020,Export,Comoros,Senegal,64,Footwear; gaiters and the like; parts of such articles,227,,,14.4750607,-14.4529612
