yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,393113,,,-36.8535712,174.7456809
2016,2016,Re-Export,Saudi Arabia,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,393113,,,29.2733964,47.4979476
2018,2018,Re-Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,913641,,,-36.8535712,174.7456809
2018,2018,Re-Export,Saudi Arabia,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,211172,,,29.2733964,47.4979476
2018,2018,Re-Export,Saudi Arabia,Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,697466,,,14.5844444,29.4917691
2018,2018,Re-Export,Saudi Arabia,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5003,,,24.0002488,53.9994829
2020,2020,Re-Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1607018,,,-36.8535712,174.7456809
2020,2020,Re-Export,Saudi Arabia,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,15964,,,26.1551249,50.5344606
2020,2020,Re-Export,Saudi Arabia,Djibouti,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10300,,,11.8145966,42.8453061
2020,2020,Re-Export,Saudi Arabia,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,12648,,,29.2733964,47.4979476
2020,2020,Re-Export,Saudi Arabia,Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1558205,,,14.5844444,29.4917691
2020,2020,Re-Export,Saudi Arabia,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,9900,,,24.0002488,53.9994829
