yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,30000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,1000,30.8124247,34.8594762,39.89317229901691,61.060280637304274
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,26000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,232000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,54000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1797000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,52000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,102000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,855000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,947000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,122000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4644000,30.8124247,34.8594762,,
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,209000,30.8124247,34.8594762,,
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,123000,30.8124247,34.8594762,,
2002,2002,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,75000,30.8124247,34.8594762,,
