yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,121909,,,37.977378106878206,73.97804075806764
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,49920,,,51.67568633314729,27.673469819741847
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,47731,,,,
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,1528,,,17.925141963241547,-78.01492950057497
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1557667,,,43.897683433510366,-100.08947125585888
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,49787,,,10.528384761701911,103.08333472012376
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,210,,,40.12399607988535,20.742583178432696
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,82507,,,6.06272746187266,22.727528470146083
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,4069146,,,,
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Pakistan, Pakistan,47970,,,,
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Saudi Arabia, Saudi Arabia,1070,,,,
2009,2009,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,3738,,,,
