yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Saudi Arabia,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",485710473,,,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,Angola,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",42400,,,-11.8775768,17.5691241
2016,2016,Import,Saudi Arabia,Australia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",568000,,,-24.7761086,134.755
2016,2016,Import,Saudi Arabia,Austria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",589067,,,47.59397,14.12456
2016,2016,Import,Saudi Arabia,Bahrain,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",112266,,,26.1551249,50.5344606
2016,2016,Import,Saudi Arabia,Belgium,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",196266,,,50.6402809,4.6667145
2016,2016,Import,Saudi Arabia,Bosnia Herzegovina,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",815201,,,44.3053476,17.5961467
2016,2016,Import,Saudi Arabia,Brazil,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",369600,,,-10.3333333,-53.2
2016,2016,Import,Saudi Arabia,Canada,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",178400,,,61.0666922,-107.991707
2016,2016,Import,Saudi Arabia,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",97274254,,,35.000074,104.999927
2016,2016,Import,Saudi Arabia,Cyprus,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",33600,,,34.9823018,33.1451285
2016,2016,Import,Saudi Arabia,Czechia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1163468,,,,
2016,2016,Import,Saudi Arabia,Denmark,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",29066,,,55.670249,10.3333283
2016,2016,Import,Saudi Arabia,Finland,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1207468,,,63.2467777,25.9209164
2016,2016,Import,Saudi Arabia,France,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1029067,,,46.603354,1.8883335
2016,2016,Import,Saudi Arabia,State of Palestine,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1732802,,,31.46242095,34.262716572130714
2016,2016,Import,Saudi Arabia,Germany,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",11898948,,,51.1638175,10.4478313
2016,2016,Import,Saudi Arabia,Greece,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4980272,,,38.9953683,21.9877132
2016,2016,Import,Saudi Arabia,Hungary,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",358933,,,47.1817585,19.5060937
2016,2016,Import,Saudi Arabia,Indonesia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",448800,,,-2.4833826,117.8902853
2016,2016,Import,Saudi Arabia,Ireland,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",44266,,,52.865196,-7.9794599
2016,2016,Import,Saudi Arabia,Italy,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",47857926,,,42.6384261,12.674297
2016,2016,Import,Saudi Arabia,Japan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5750407,,,36.5748441,139.2394179
2016,2016,Import,Saudi Arabia,Jordan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",53074999,,,31.1667049,36.941628
2016,2016,Import,Saudi Arabia,Kenya,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",119200,,,1.4419683,38.4313975
2016,2016,Import,Saudi Arabia,Rep. of Korea,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",9813078,,,,
2016,2016,Import,Saudi Arabia,Kuwait,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",34133,,,29.2733964,47.4979476
2016,2016,Import,Saudi Arabia,Lebanon,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1066934,,,33.8750629,35.843409
2016,2016,Import,Saudi Arabia,Malaysia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",410400,,,4.5693754,102.2656823
2016,2016,Import,Saudi Arabia,Mexico,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",787734,,,23.6585116,-102.0077097
2016,2016,Import,Saudi Arabia,"Other Asia, nes",68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",231200,,,,
2016,2016,Import,Saudi Arabia,Mongolia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",89600,,,46.8250388,103.8499736
2016,2016,Import,Saudi Arabia,Morocco,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",28533,,,31.1728205,-7.3362482
2016,2016,Import,Saudi Arabia,Oman,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",53145666,,,21.0000287,57.0036901
2016,2016,Import,Saudi Arabia,Netherlands,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",614400,,,52.2434979,5.6343227
2016,2016,Import,Saudi Arabia,Pakistan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3544804,,,30.3308401,71.247499
2016,2016,Import,Saudi Arabia,Philippines,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",38666,,,12.7503486,122.7312101
2016,2016,Import,Saudi Arabia,Poland,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1451201,,,52.215933,19.134422
2016,2016,Import,Saudi Arabia,Portugal,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",14998952,,,39.6621648,-8.1353519
2016,2016,Import,Saudi Arabia,Romania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",116533,,,45.9852129,24.6859225
2016,2016,Import,Saudi Arabia,India,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",29308836,,,22.3511148,78.6677428
2016,2016,Import,Saudi Arabia,Slovakia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",100000,,,48.7411522,19.4528646
2016,2016,Import,Saudi Arabia,Viet Nam,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1033867,,,15.9266657,107.9650855
2016,2016,Import,Saudi Arabia,Slovenia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2430403,,,45.8133113,14.4808369
2016,2016,Import,Saudi Arabia,Spain,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",23252029,,,39.3260685,-4.8379791
2016,2016,Import,Saudi Arabia,Sweden,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",72533,,,59.6749712,14.5208584
2016,2016,Import,Saudi Arabia,Switzerland,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1017601,,,46.7985624,8.2319736
2016,2016,Import,Saudi Arabia,Syria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3953338,,,34.6401861,39.0494106
2016,2016,Import,Saudi Arabia,Thailand,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2991470,,,14.8971921,100.83273
2016,2016,Import,Saudi Arabia,United Arab Emirates,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",26448033,,,24.0002488,53.9994829
2016,2016,Import,Saudi Arabia,Tunisia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",633600,,,33.8439408,9.400138
2016,2016,Import,Saudi Arabia,Turkey,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",56862204,,,38.9597594,34.9249653
2016,2016,Import,Saudi Arabia,North Macedonia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",140000,,,,
2016,2016,Import,Saudi Arabia,Egypt,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",11797348,,,26.2540493,29.2675469
2016,2016,Import,Saudi Arabia,United Kingdom,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2467736,,,54.7023545,-3.2765753
2016,2016,Import,Saudi Arabia,United Rep. of Tanzania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",54933,,,,
2016,2016,Import,Saudi Arabia,USA,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6801608,,,,
2016,2016,Import,Saudi Arabia,Yemen,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",26933,,,16.3471243,47.8915271
2016,2016,Import,Saudi Arabia,"Areas, nes",68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",71466,,,,
