yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2013,2013.0,Re-Export,Bahrain,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1036169804.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2013,2013.0,Re-Export,Bahrain,Algeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",666782.0,,26.1551249,50.5344606,28.0000272,2.9999825
2013,2013.0,Re-Export,Bahrain,Angola,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",482257.0,,26.1551249,50.5344606,-11.8775768,17.5691241
2013,2013.0,Re-Export,Bahrain,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23841.0,,26.1551249,50.5344606,-24.7761086,134.755
2013,2013.0,Re-Export,Bahrain,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",710276.0,,26.1551249,50.5344606,24.4769288,90.2934413
2013,2013.0,Re-Export,Bahrain,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",324664.0,,26.1551249,50.5344606,50.6402809,4.6667145
2013,2013.0,Re-Export,Bahrain,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7947.0,,26.1551249,50.5344606,42.6073975,25.4856617
2013,2013.0,Re-Export,Bahrain,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10596.0,,26.1551249,50.5344606,4.6125522,13.1535811
2013,2013.0,Re-Export,Bahrain,Chad,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1000994.0,,26.1551249,50.5344606,15.6134137,19.0156172
2013,2013.0,Re-Export,Bahrain,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",382533462.0,,26.1551249,50.5344606,35.000074,104.999927
2013,2013.0,Re-Export,Bahrain,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21192.0,,26.1551249,50.5344606,45.5643442,17.0118954
2013,2013.0,Re-Export,Bahrain,Cuba,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33016.0,,26.1551249,50.5344606,23.0131338,-80.8328748
2013,2013.0,Re-Export,Bahrain,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1992.0,,26.1551249,50.5344606,34.9823018,33.1451285
