yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,22240,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,18649,31.1728205,-7.3362482,,
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,337714,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,12377,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,7738,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,4169534,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,223,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,32539,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,6251838,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,10863464,31.1728205,-7.3362482,,
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin, Algeria, Algeria,4044,31.1728205,-7.3362482,,
2008,2008,Import,Morocco,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,6167,31.1728205,-7.3362482,,
