yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,401,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,307,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,1746,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,49,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,13528,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,4690930,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,258547,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,47340,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,7942,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,1143914,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,2838088,29.2733964,47.4979476,,
2010,2010,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,375800,29.2733964,47.4979476,,
