yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2003,2003,Re-Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,2602
2003,2003,Re-Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,30779
2003,2003,Re-Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,186798
2003,2003,Re-Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,258699
