yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,131677,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,3784433,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,76468150,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,40126607,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,4326037,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,1215441,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,62081387,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,12894976,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,5573895,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,2584084,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,265585881,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,23282040,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,3068185,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,24087611,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,74409090,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,World,World,732668778,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Afghanistan, Afghanistan,78852,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,17276122,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Azerbaijan, Azerbaijan,5934090,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,67521,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,6938690,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Georgia, Georgia,910233,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,32375976,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,27720898,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,1653225,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,281005,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,2126563,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,4021856,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,126349,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Mauritania, Mauritania,750837,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Morocco, Morocco,806228,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,9395,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,214053,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,41617,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,963539,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,State of Palestine, State of Palestine,21875,38.9597594,34.9249653,,
2003,2003,Export,Turkey,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,1114581,38.9597594,34.9249653,,
