yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Oman,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16674614,,,-36.8535712,174.7456809
2019,2019,Import,Oman,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,49999,,,35.000074,104.999927
2019,2019,Import,Oman,Rep. of Korea,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,15,,,,
2019,2019,Import,Oman,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,32855,,,29.2733964,47.4979476
2019,2019,Import,Oman,Luxembourg,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,9381627,,,,
2019,2019,Import,Oman,Malaysia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,408,,,4.5693754,102.2656823
2019,2019,Import,Oman,Netherlands,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,449,,,52.2434979,5.6343227
2019,2019,Import,Oman,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,25869,,,25.3336984,51.2295295
2019,2019,Import,Oman,Russian Federation,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,967573,,,64.6863136,97.7453061
2019,2019,Import,Oman,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,378871,,,25.6242618,42.3528328
2019,2019,Import,Oman,Serbia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,475,,,44.1534121,20.55144
2019,2019,Import,Oman,India,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1954205,,,22.3511148,78.6677428
2019,2019,Import,Oman,Sweden,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,56600,,,59.6749712,14.5208584
2019,2019,Import,Oman,Thailand,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,283,,,14.8971921,100.83273
2019,2019,Import,Oman,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2419349,,,24.0002488,53.9994829
2019,2019,Import,Oman,Turkmenistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,340595,,,39.3763807,59.3924609
2019,2019,Import,Oman,United Kingdom,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,98,,,54.7023545,-3.2765753
2019,2019,Import,Oman,USA,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1065334,,,,
