yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,1960,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,614,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,74,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,World,World,5173212,26.1551249,50.5344606,,
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,56681,26.1551249,50.5344606,,
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,4493527,26.1551249,50.5344606,,
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,17433,26.1551249,50.5344606,,
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,487,26.1551249,50.5344606,,
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,55524,26.1551249,50.5344606,,
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,246853,26.1551249,50.5344606,,
2005,2005,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,152907,26.1551249,50.5344606,,
