yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,313504,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,6066,30.3308401,71.247499,39.89317229901691,61.060280637304274
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,11123062,30.3308401,71.247499,37.977378106878206,73.97804075806764
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,22727,30.3308401,71.247499,51.67568633314729,27.673469819741847
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,55081,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2930018,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,7414331,30.3308401,71.247499,59.36075159783851,25.01346951967388
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,5076314,30.3308401,71.247499,10.528384761701911,103.08333472012376
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,87357,30.3308401,71.247499,25.499703063807168,75.5024015339642
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1288089,30.3308401,71.247499,40.12399607988535,20.742583178432696
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,23109,30.3308401,71.247499,6.06272746187266,22.727528470146083
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,439157,30.3308401,71.247499,26.42921218083572,52.86847103284948
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,6164158,30.3308401,71.247499,47.92172048214207,7.866753258497997
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,38774781,30.3308401,71.247499,,
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,396,30.3308401,71.247499,,
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,39,30.3308401,71.247499,,
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,62303,30.3308401,71.247499,,
2012,2012,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,765895,30.3308401,71.247499,,
