yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,347430,,,-36.8535712,174.7456809
2016,2016,Export,Kuwait,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,32036,,,26.1551249,50.5344606
2016,2016,Export,Kuwait,Iran,35,Albuminoidal substances; modified starches; glues; enzymes,827,,,32.6475314,54.5643516
2016,2016,Export,Kuwait,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,2729,,,33.0955793,44.1749775
2016,2016,Export,Kuwait,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,11065,,,31.1667049,36.941628
2016,2016,Export,Kuwait,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,196500,,,25.3336984,51.2295295
2016,2016,Export,Kuwait,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,72992,,,25.6242618,42.3528328
2016,2016,Export,Kuwait,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,31279,,,24.0002488,53.9994829
2018,2018,Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,757981,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,231922,,,26.1551249,50.5344606
2018,2018,Export,Kuwait,Chad,35,Albuminoidal substances; modified starches; glues; enzymes,241,,,,
2018,2018,Export,Kuwait,China,35,Albuminoidal substances; modified starches; glues; enzymes,9268,,,35.000074,104.999927
2018,2018,Export,Kuwait,Iran,35,Albuminoidal substances; modified starches; glues; enzymes,7084,,,32.6475314,54.5643516
2018,2018,Export,Kuwait,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,107188,,,33.0955793,44.1749775
2018,2018,Export,Kuwait,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,11244,,,31.1667049,36.941628
2018,2018,Export,Kuwait,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,13465,,,21.0000287,57.0036901
2018,2018,Export,Kuwait,Philippines,35,Albuminoidal substances; modified starches; glues; enzymes,182,,,12.7503486,122.7312101
2018,2018,Export,Kuwait,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,98850,,,25.3336984,51.2295295
2018,2018,Export,Kuwait,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,172016,,,25.6242618,42.3528328
2018,2018,Export,Kuwait,Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,31151,,,14.5844444,29.4917691
2018,2018,Export,Kuwait,Thailand,35,Albuminoidal substances; modified starches; glues; enzymes,471,,,14.8971921,100.83273
2018,2018,Export,Kuwait,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,73898,,,24.0002488,53.9994829
2018,2018,Export,Kuwait,Egypt,35,Albuminoidal substances; modified starches; glues; enzymes,1001,,,26.2540493,29.2675469
2019,2019,Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,1174443,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,190343,,,26.1551249,50.5344606
2019,2019,Export,Kuwait,Bangladesh,35,Albuminoidal substances; modified starches; glues; enzymes,5325,,,24.4769288,90.2934413
2019,2019,Export,Kuwait,Ghana,35,Albuminoidal substances; modified starches; glues; enzymes,105,,,8.0300284,-1.0800271
2019,2019,Export,Kuwait,Iran,35,Albuminoidal substances; modified starches; glues; enzymes,4053,,,32.6475314,54.5643516
2019,2019,Export,Kuwait,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,519807,,,33.0955793,44.1749775
2019,2019,Export,Kuwait,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,92798,,,31.1667049,36.941628
2019,2019,Export,Kuwait,Maldives,35,Albuminoidal substances; modified starches; glues; enzymes,412,,,3.7203503,73.2244152
2019,2019,Export,Kuwait,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,5152,,,21.0000287,57.0036901
2019,2019,Export,Kuwait,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,156682,,,25.3336984,51.2295295
2019,2019,Export,Kuwait,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,72896,,,25.6242618,42.3528328
2019,2019,Export,Kuwait,Singapore,35,Albuminoidal substances; modified starches; glues; enzymes,12624,,,1.357107,103.8194992
2019,2019,Export,Kuwait,Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,5015,,,14.5844444,29.4917691
2019,2019,Export,Kuwait,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,109231,,,24.0002488,53.9994829
2020,2020,Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,1117333,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,46770,,,26.1551249,50.5344606
2020,2020,Export,Kuwait,Belgium,35,Albuminoidal substances; modified starches; glues; enzymes,10881,,,50.6402809,4.6667145
2020,2020,Export,Kuwait,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,339947,,,33.0955793,44.1749775
2020,2020,Export,Kuwait,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,4075,,,31.1667049,36.941628
2020,2020,Export,Kuwait,Liberia,35,Albuminoidal substances; modified starches; glues; enzymes,1208,,,5.7499721,-9.3658524
2020,2020,Export,Kuwait,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,48516,,,21.0000287,57.0036901
2020,2020,Export,Kuwait,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,25024,,,25.3336984,51.2295295
2020,2020,Export,Kuwait,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,617006,,,25.6242618,42.3528328
2020,2020,Export,Kuwait,Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,679,,,14.5844444,29.4917691
2020,2020,Export,Kuwait,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,18948,,,24.0002488,53.9994829
