yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1148097,31.46242095,34.262716572130714,37.977378106878206,73.97804075806764
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1372,31.46242095,34.262716572130714,,
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,122059,31.46242095,34.262716572130714,17.925141963241547,-78.01492950057497
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,129087,31.46242095,34.262716572130714,43.897683433510366,-100.08947125585888
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,20702,31.46242095,34.262716572130714,59.36075159783851,25.01346951967388
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,4249,31.46242095,34.262716572130714,10.528384761701911,103.08333472012376
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1134569,31.46242095,34.262716572130714,40.12399607988535,20.742583178432696
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,183,31.46242095,34.262716572130714,6.06272746187266,22.727528470146083
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,178243,31.46242095,34.262716572130714,26.42921218083572,52.86847103284948
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,604780,31.46242095,34.262716572130714,47.92172048214207,7.866753258497997
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7817921,31.46242095,34.262716572130714,,
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,4296664,31.46242095,34.262716572130714,,
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,158456,31.46242095,34.262716572130714,,
2012,2012,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,325,31.46242095,34.262716572130714,,
