yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,63360,32.3293809,-83.1137366,39.89317229901691,61.060280637304274
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,19140,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,16213683,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,454,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,77640,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,147635,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,1334415,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,2893751,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,886342,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,25018534,32.3293809,-83.1137366,,
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Armenia, Armenia,5940,32.3293809,-83.1137366,,
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Azerbaijan, Azerbaijan,3371250,32.3293809,-83.1137366,,
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Israel, Israel,4391,32.3293809,-83.1137366,,
2009,2009,Import,Georgia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,190,32.3293809,-83.1137366,,
