yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Yemen,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",9026977,,,-36.8535712,174.7456809
2019,2019,Import,Yemen,Brazil,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4919,,,-10.3333333,-53.2
2019,2019,Import,Yemen,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4326,,,35.000074,104.999927
2019,2019,Import,Yemen,Indonesia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",59584,,,-2.4833826,117.8902853
2019,2019,Import,Yemen,Ireland,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1826,,,52.865196,-7.9794599
2019,2019,Import,Yemen,Japan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1120938,,,36.5748441,139.2394179
2019,2019,Import,Yemen,Malaysia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",20920,,,4.5693754,102.2656823
2019,2019,Import,Yemen,Oman,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",51898,,,21.0000287,57.0036901
2019,2019,Import,Yemen,Netherlands,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",48482,,,52.2434979,5.6343227
2019,2019,Import,Yemen,Saudi Arabia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",85231,,,25.6242618,42.3528328
2019,2019,Import,Yemen,India,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",6156,,,22.3511148,78.6677428
2019,2019,Import,Yemen,Viet Nam,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",40266,,,15.9266657,107.9650855
2019,2019,Import,Yemen,Thailand,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",6789325,,,14.8971921,100.83273
2019,2019,Import,Yemen,United Arab Emirates,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",54956,,,24.0002488,53.9994829
2019,2019,Import,Yemen,Tunisia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",450,,,33.8439408,9.400138
2019,2019,Import,Yemen,Turkey,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",29429,,,38.9597594,34.9249653
2019,2019,Import,Yemen,Egypt,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",975,,,26.2540493,29.2675469
2019,2019,Import,Yemen,"Areas, nes",16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",707286,,,,
