yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,1164,33.87,35.84,-16.85099460447687,133.4130365630627
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,2643142,33.87,35.84,37.977378106878206,73.97804075806764
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,123481,33.87,35.84,51.67568633314729,27.673469819741847
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,2007,33.87,35.84,43.897683433510366,-100.08947125585888
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,141238,33.87,35.84,59.36075159783851,25.01346951967388
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,1382425,33.87,35.84,40.12399607988535,20.742583178432696
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,333365,33.87,35.84,26.42921218083572,52.86847103284948
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,2107816,33.87,35.84,47.92172048214207,7.866753258497997
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,7580278,33.87,35.84,,
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,34824,33.87,35.84,,
2014,2014,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,160615,33.87,35.84,,
