yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,701,31.17,-7.33,37.977378106878206,73.97804075806764
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,37068,31.17,-7.33,51.67568633314729,27.673469819741847
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,8541,31.17,-7.33,,
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2264,31.17,-7.33,43.897683433510366,-100.08947125585888
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,127261,31.17,-7.33,59.36075159783851,25.01346951967388
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,300,31.17,-7.33,10.528384761701911,103.08333472012376
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,12946,31.17,-7.33,40.12399607988535,20.742583178432696
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1080493,31.17,-7.33,6.06272746187266,22.727528470146083
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,31375,31.17,-7.33,,
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,58243,31.17,-7.33,47.92172048214207,7.866753258497997
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,2423207,31.17,-7.33,,
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,78,31.17,-7.33,,
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,4672,31.17,-7.33,,
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,7447,31.17,-7.33,,
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,5096,31.17,-7.33,,
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,998080,31.17,-7.33,,
2021,2021,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,48290,31.17,-7.33,,
