yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,4133,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1288668,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,38899,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,3909,21.0000287,57.0036901,,
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,18609,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3853021,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1263961,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,92858,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1403966,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,96967,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,38746,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1669790,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,21600388,21.0000287,57.0036901,,
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,3319,21.0000287,57.0036901,,
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,220962,21.0000287,57.0036901,,
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Morocco, Morocco,6226,21.0000287,57.0036901,,
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,136910,21.0000287,57.0036901,,
2012,2012,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,5462746,21.0000287,57.0036901,,
