yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2013,2013.0,Export,Lebanon,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",225820.0,,33.8750629,35.843409,-36.8535712,174.7456809
2013,2013.0,Export,Lebanon,Angola,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",765.0,,33.8750629,35.843409,-11.8775768,17.5691241
2013,2013.0,Export,Lebanon,Canada,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4093.0,,33.8750629,35.843409,61.0666922,-107.991707
2013,2013.0,Export,Lebanon,Central African Rep.,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1329.0,,33.8750629,35.843409,,
2013,2013.0,Export,Lebanon,Colombia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",130.0,,33.8750629,35.843409,4.099917,-72.9088133
2013,2013.0,Export,Lebanon,Congo,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1113.0,,33.8750629,35.843409,-2.9814344,23.8222636
2013,2013.0,Export,Lebanon,Georgia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",927.0,,33.8750629,35.843409,32.3293809,-83.1137366
2013,2013.0,Export,Lebanon,Guinea,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",241.0,,33.8750629,35.843409,10.7226226,-10.7083587
2013,2013.0,Export,Lebanon,Iraq,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",25906.0,,33.8750629,35.843409,33.0955793,44.1749775
2013,2013.0,Export,Lebanon,Côte d'Ivoire,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",506.0,,33.8750629,35.843409,7.9897371,-5.5679458
2013,2013.0,Export,Lebanon,Jordan,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",328.0,,33.8750629,35.843409,31.1667049,36.941628
2013,2013.0,Export,Lebanon,Kuwait,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",28998.0,,33.8750629,35.843409,29.2733964,47.4979476
2013,2013.0,Export,Lebanon,Niger,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",609.0,,33.8750629,35.843409,17.7356214,9.3238432
2013,2013.0,Export,Lebanon,Nigeria,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2532.0,,33.8750629,35.843409,9.6000359,7.9999721
2013,2013.0,Export,Lebanon,Qatar,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",28244.0,,33.8750629,35.843409,25.3336984,51.2295295
2013,2013.0,Export,Lebanon,Romania,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3133.0,,33.8750629,35.843409,45.9852129,24.6859225
2013,2013.0,Export,Lebanon,Anguilla,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",139.0,,33.8750629,35.843409,18.1954947,-63.0750234
2013,2013.0,Export,Lebanon,Saudi Arabia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",68589.0,,33.8750629,35.843409,25.6242618,42.3528328
2013,2013.0,Export,Lebanon,Senegal,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",495.0,,33.8750629,35.843409,14.4750607,-14.4529612
2013,2013.0,Export,Lebanon,Sierra Leone,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",318.0,,33.8750629,35.843409,8.6400349,-11.8400269
2013,2013.0,Export,Lebanon,Syria,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",10253.0,,33.8750629,35.843409,34.6401861,39.0494106
2013,2013.0,Export,Lebanon,Togo,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",226.0,,33.8750629,35.843409,8.7800265,1.0199765
2013,2013.0,Export,Lebanon,United Arab Emirates,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",38170.0,,33.8750629,35.843409,24.0002488,53.9994829
2013,2013.0,Export,Lebanon,Egypt,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4046.0,,33.8750629,35.843409,26.2540493,29.2675469
2013,2013.0,Export,Lebanon,United Kingdom,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",558.0,,33.8750629,35.843409,54.7023545,-3.2765753
2013,2013.0,Export,Lebanon,USA,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",234.0,,33.8750629,35.843409,39.7837304,-100.445882
2013,2013.0,Export,Lebanon,Burkina Faso,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",65.0,,33.8750629,35.843409,12.0753083,-1.6880314
2013,2013.0,Export,Lebanon,Uruguay,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3116.0,,33.8750629,35.843409,-32.8755548,-56.0201525
2013,2013.0,Export,Lebanon,Zambia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",755.0,,33.8750629,35.843409,-14.5189121,27.5589884
