yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2013,2013.0,Export,Algeria,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4330438.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2013,2013.0,Export,Algeria,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",81210.0,,28.0000272,2.9999825,50.6402809,4.6667145
2013,2013.0,Export,Algeria,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",697.0,,28.0000272,2.9999825,61.0666922,-107.991707
2013,2013.0,Export,Algeria,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2070342.0,,28.0000272,2.9999825,46.603354,1.8883335
2013,2013.0,Export,Algeria,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2393.0,,28.0000272,2.9999825,51.1638175,10.4478313
2013,2013.0,Export,Algeria,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",491.0,,28.0000272,2.9999825,42.6384261,12.674297
2013,2013.0,Export,Algeria,Rep. of Korea,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5886.0,,28.0000272,2.9999825,,
2013,2013.0,Export,Algeria,Libya,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",896.0,,28.0000272,2.9999825,26.8234472,18.1236723
2013,2013.0,Export,Algeria,Mauritania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3124.0,,28.0000272,2.9999825,20.2540382,-9.2399263
2013,2013.0,Export,Algeria,Nigeria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1409.0,,28.0000272,2.9999825,9.6000359,7.9999721
2013,2013.0,Export,Algeria,Senegal,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1.0,,28.0000272,2.9999825,14.4750607,-14.4529612
2013,2013.0,Export,Algeria,Tunisia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",288095.0,,28.0000272,2.9999825,33.8439408,9.400138
2013,2013.0,Export,Algeria,United Kingdom,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",679769.0,,28.0000272,2.9999825,54.7023545,-3.2765753
2013,2013.0,Export,Algeria,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1194350.0,,28.0000272,2.9999825,39.7837304,-100.445882
2013,2013.0,Export,Algeria,Venezuela,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1775.0,,28.0000272,2.9999825,8.0018709,-66.1109318
