yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Algeria,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,202160,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2005,2005,Export,Algeria,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,812467,28.0000272,2.9999825,,
2005,2005,Export,Algeria,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,311,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2005,2005,Export,Algeria,4,Dairy produce; birds eggs; natural honey;,World,World,5385110,28.0000272,2.9999825,,
2005,2005,Export,Algeria,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,4370172,28.0000272,2.9999825,,
