yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Kuwait,World,1,Animals; live,7996246,,,-36.8535712,174.7456809
2016,2016,Export,Kuwait,Australia,1,Animals; live,330,,,-24.7761086,134.755
2016,2016,Export,Kuwait,Bahrain,1,Animals; live,797973,,,26.1551249,50.5344606
2016,2016,Export,Kuwait,Bangladesh,1,Animals; live,7946,,,24.4769288,90.2934413
2016,2016,Export,Kuwait,Belgium,1,Animals; live,269740,,,50.6402809,4.6667145
2016,2016,Export,Kuwait,Brazil,1,Animals; live,827,,,-10.3333333,-53.2
2016,2016,Export,Kuwait,Myanmar,1,Animals; live,231,,,,
2016,2016,Export,Kuwait,Canada,1,Animals; live,1419,,,61.0666922,-107.991707
2016,2016,Export,Kuwait,Sri Lanka,1,Animals; live,2315,,,7.5554942,80.7137847
2016,2016,Export,Kuwait,China,1,Animals; live,18195,,,35.000074,104.999927
2016,2016,Export,Kuwait,Cyprus,1,Animals; live,992,,,34.9823018,33.1451285
2016,2016,Export,Kuwait,Czechia,1,Animals; live,436,,,,
2016,2016,Export,Kuwait,France,1,Animals; live,807,,,46.603354,1.8883335
2016,2016,Export,Kuwait,Germany,1,Animals; live,48991,,,51.1638175,10.4478313
2016,2016,Export,Kuwait,Greece,1,Animals; live,992,,,38.9953683,21.9877132
2016,2016,Export,Kuwait,"China, Hong Kong SAR",1,Animals; live,330,,,22.350627,114.1849161
2016,2016,Export,Kuwait,Hungary,1,Animals; live,1720,,,47.1817585,19.5060937
2016,2016,Export,Kuwait,Iran,1,Animals; live,862288,,,32.6475314,54.5643516
2016,2016,Export,Kuwait,Iraq,1,Animals; live,198,,,33.0955793,44.1749775
2016,2016,Export,Kuwait,Ireland,1,Animals; live,1323,,,52.865196,-7.9794599
2016,2016,Export,Kuwait,Italy,1,Animals; live,165,,,42.6384261,12.674297
2016,2016,Export,Kuwait,Jordan,1,Animals; live,21787,,,31.1667049,36.941628
2016,2016,Export,Kuwait,Rep. of Korea,1,Animals; live,47393,,,,
2016,2016,Export,Kuwait,Lebanon,1,Animals; live,1564,,,33.8750629,35.843409
2016,2016,Export,Kuwait,Libya,1,Animals; live,19849,,,26.8234472,18.1236723
2016,2016,Export,Kuwait,Malaysia,1,Animals; live,827,,,4.5693754,102.2656823
2016,2016,Export,Kuwait,Morocco,1,Animals; live,1488,,,31.1728205,-7.3362482
2016,2016,Export,Kuwait,Oman,1,Animals; live,131368,,,21.0000287,57.0036901
2016,2016,Export,Kuwait,Netherlands,1,Animals; live,70874,,,52.2434979,5.6343227
2016,2016,Export,Kuwait,Philippines,1,Animals; live,1488,,,12.7503486,122.7312101
2016,2016,Export,Kuwait,Qatar,1,Animals; live,2027300,,,25.3336984,51.2295295
2016,2016,Export,Kuwait,Saudi Arabia,1,Animals; live,2436716,,,25.6242618,42.3528328
2016,2016,Export,Kuwait,India,1,Animals; live,330,,,22.3511148,78.6677428
2016,2016,Export,Kuwait,Viet Nam,1,Animals; live,330,,,15.9266657,107.9650855
2016,2016,Export,Kuwait,South Africa,1,Animals; live,7145,,,-28.8166236,24.991639
2016,2016,Export,Kuwait,Zimbabwe,1,Animals; live,661,,,,
2016,2016,Export,Kuwait,Spain,1,Animals; live,1157,,,39.3260685,-4.8379791
2016,2016,Export,Kuwait,Sudan,1,Animals; live,261,,,14.5844444,29.4917691
2016,2016,Export,Kuwait,Switzerland,1,Animals; live,430,,,46.7985624,8.2319736
2016,2016,Export,Kuwait,Thailand,1,Animals; live,916,,,14.8971921,100.83273
2016,2016,Export,Kuwait,United Arab Emirates,1,Animals; live,1133938,,,24.0002488,53.9994829
2016,2016,Export,Kuwait,Turkey,1,Animals; live,330,,,38.9597594,34.9249653
2016,2016,Export,Kuwait,Egypt,1,Animals; live,13725,,,26.2540493,29.2675469
2016,2016,Export,Kuwait,United Kingdom,1,Animals; live,16402,,,54.7023545,-3.2765753
2016,2016,Export,Kuwait,USA,1,Animals; live,42728,,,,
2018,2018,Export,Kuwait,World,1,Animals; live,54960026,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,Azerbaijan,1,Animals; live,600,,,40.3936294,47.7872508
2018,2018,Export,Kuwait,Australia,1,Animals; live,2154,,,-24.7761086,134.755
2018,2018,Export,Kuwait,Bahrain,1,Animals; live,759066,,,26.1551249,50.5344606
2018,2018,Export,Kuwait,Bangladesh,1,Animals; live,4223,,,24.4769288,90.2934413
2018,2018,Export,Kuwait,Belgium,1,Animals; live,213913,,,50.6402809,4.6667145
2018,2018,Export,Kuwait,Canada,1,Animals; live,1147,,,61.0666922,-107.991707
2018,2018,Export,Kuwait,Sri Lanka,1,Animals; live,330,,,7.5554942,80.7137847
